Start Date,End Date,Campaign Name,Reach,Frequency,Impressions,Clicks,Unique Clicks,Amount Spent (USD),Page Likes,Page Engagement,Post Engagement,Post Likes,Post Comments,Post Shares,Photo Views,Website Clicks,Cost per Page Engagement (USD)
12/2/13,12/2/13,Cyber Weekend,278117,2.314303,643647,336,313,300,3,246,243,0,0,0,0,243,1.219512
12/1/13,12/1/13,Cyber Weekend,221255,2.07909,460009,376,348,300,6,215,209,0,0,0,0,209,1.395349
11/30/13,11/30/13,Cyber Weekend,267915,2.499069,669538,383,345,300,2,252,250,0,0,0,0,250,1.190476
11/29/13,11/29/13,Cyber Weekend,280332,2.365406,663099,301,275,300,3,257,254,0,0,0,0,254,1.167315
11/22/13,11/22/13,TravelPony: General Ads,14269,1.00042,14275,64,61,35.18,2,14,12,0,0,0,0,12,2.512857
11/22/13,11/22/13,TravelPony: Conversion Test,7096,1.018743,7229,32,32,45.01,2,5,3,0,0,0,0,3,9.002
11/21/13,11/21/13,TravelPony: Conversion Test,29437,1,29437,100,80,200,10,43,33,0,0,0,0,33,4.651163
11/21/13,11/21/13,TravelPony: General Ads,30320,1.018239,30873,178,157,98.09,5,50,45,0,0,0,0,45,1.9618
11/20/13,11/20/13,TravelPony: Conversion Test,25951,1.02682,26647,133,113,200,8,50,42,0,0,0,0,42,4
11/20/13,11/20/13,TravelPony: General Ads,49038,1,49038,324,276,178.77,13,112,99,0,0,0,0,99,1.596161
11/19/13,11/19/13,TravelPony: Conversion Test,32851,1.023287,33616,183,161,200,9,76,67,0,0,0,0,67,2.631579
11/19/13,11/19/13,TravelPony: General Ads,53974,1,53974,398,335,206.65,6,66,60,0,0,0,0,60,3.131061
11/18/13,11/18/13,TravelPony: General Ads,81149,1.004128,81484,495,433,300,12,127,115,0,0,0,0,115,2.362205
11/17/13,11/17/13,TravelPony: General Ads,81237,1,81237,635,552,300,14,124,110,0,0,0,0,110,2.419355
11/16/13,11/16/13,TravelPony: General Ads,68209,1,68209,582,523,300,9,123,114,0,0,0,0,114,2.439024
11/15/13,11/15/13,TravelPony: General Ads,45828,1,45828,368,334,300,15,101,86,0,0,0,0,86,2.970297
11/8/13,11/8/13,"Post: ""You need to get some real sun and we are here to...""",8466,1.018663,8624,273,238,42.73,4,276,272,96,1,18,156,1,0.154819
11/7/13,11/7/13,"Post: ""You need to get some real sun and we are here to...""",1111,1.0018,1113,37,27,7.27,0,48,48,16,0,5,27,0,0.151458
10/31/13,10/31/13,Nanigans_7_720,5043,1.008527,5086,68,58,24.94,0,22,22,0,1,0,0,21,1.133636
10/31/13,10/31/13,Nanigans_7_723,10825,1.017644,11016,34,33,25.5,0,17,17,3,0,0,0,14,1.5
10/31/13,10/31/13,Nanigans_7_721,3384,1.00266,3393,18,16,12.14,0,6,6,0,0,0,0,6,2.023333
10/31/13,10/31/13,Nanigans_7_719,8054,1.001738,8068,43,37,23.84,1,10,9,0,0,0,0,9,2.384
10/30/13,10/30/13,Nanigans_7_719,19465,1,19465,84,75,50,3,47,44,1,0,0,0,43,1.06383
10/30/13,10/30/13,Nanigans_7_720,6698,1.016124,6806,123,110,50,1,93,92,2,0,0,4,86,0.537634
10/30/13,10/30/13,Nanigans_7_721,15852,1.02025,16173,64,62,50,2,38,36,9,2,0,0,25,1.315789
10/30/13,10/30/13,Nanigans_7_723,21453,1.019391,21869,70,66,50,1,34,33,3,0,0,0,30,1.470588
10/29/13,10/29/13,Nanigans_7_720,8449,1.010179,8535,120,106,50,1,94,93,6,0,0,0,87,0.531915
10/29/13,10/29/13,Nanigans_7_723,19738,1,19738,75,68,50,1,43,42,3,0,0,0,39,1.162791
10/29/13,10/29/13,Nanigans_7_721,16716,1,16716,64,58,50,4,37,33,5,0,0,0,28,1.351351
10/29/13,10/29/13,Nanigans_7_719,13166,1,13166,72,67,50,0,49,49,1,0,0,0,48,1.020408
10/28/13,10/28/13,Nanigans_7_724,4332,1.001154,4337,19,15,13.41,0,7,7,0,0,0,1,6,1.915714
10/28/13,10/28/13,Nanigans_7_723,9423,1.016131,9575,34,29,25.66,0,18,18,3,0,0,0,15,1.425556
10/28/13,10/28/13,Nanigans_7_720,11089,1,11089,134,112,50,3,113,110,6,0,0,0,104,0.442478
10/28/13,10/28/13,Nanigans_7_721,18393,1.007014,18522,67,62,50,3,38,35,6,0,0,0,29,1.315789
10/28/13,10/28/13,Nanigans_7_719,11916,1,11916,72,63,44.33,1,42,41,5,0,0,1,35,1.055476
10/27/13,10/27/13,Nanigans_7_721,16579,1,16579,67,62,50,0,34,34,0,0,0,0,34,1.470588
10/27/13,10/27/13,Nanigans_7_719,16713,1.004787,16793,80,75,50,2,51,49,2,0,0,0,47,0.980392
10/27/13,10/27/13,Nanigans_7_722,9990,1.000901,9999,30,29,18.03,1,11,10,0,0,0,0,10,1.639091
10/27/13,10/27/13,Nanigans_7_720,10497,1.011146,10614,117,99,50,0,94,94,2,0,0,0,92,0.531915
10/27/13,10/27/13,Nanigans_7_723,13389,1,13389,72,64,50,3,41,38,5,0,0,0,33,1.219512
10/27/13,10/27/13,Nanigans_7_724,14523,1.003581,14575,69,64,50,1,28,27,3,0,0,0,24,1.785714
10/26/13,10/26/13,Nanigans_7_723,18800,1.025479,19279,62,59,50,4,36,32,3,0,0,1,28,1.388889
10/26/13,10/26/13,Nanigans_7_720,7837,1.024627,8030,72,59,50,2,99,97,3,1,0,6,87,0.505051
10/26/13,10/26/13,Nanigans_7_719,12656,1,12656,64,60,50,0,45,45,4,0,0,0,41,1.111111
10/26/13,10/26/13,Nanigans_7_722,22332,1.007926,22509,66,61,50,2,32,30,4,0,0,0,26,1.5625
10/26/13,10/26/13,Nanigans_7_721,19444,1.006326,19567,62,58,50,1,41,40,4,0,0,0,36,1.219512
10/26/13,10/26/13,Nanigans_7_724,20487,1.005223,20594,65,60,50,0,27,27,1,0,0,0,26,1.851852
10/25/13,10/25/13,Nanigans_7_724,7676,1,7676,38,37,32,1,18,17,0,1,0,0,16,1.777778
10/25/13,10/25/13,Nanigans_7_722,7660,1.009269,7731,33,30,27.86,0,17,17,3,0,0,0,14,1.638824
10/25/13,10/25/13,Nanigans_7_721,8288,1.013634,8401,43,38,37.05,1,26,25,2,0,1,0,22,1.425
10/25/13,10/25/13,Nanigans_7_720,7581,1,7581,104,94,46.65,0,79,79,6,0,0,0,73,0.590506
10/25/13,10/25/13,Nanigans_7_719,8959,1,8959,72,61,46.28,2,50,48,4,0,0,0,44,0.9256
10/25/13,10/25/13,Nanigans_7_723,8136,1.011922,8233,39,38,35.86,3,25,22,4,0,0,1,17,1.4344
10/24/13,10/24/13,Nanigans_7_719,12129,1.030918,12504,83,74,50,3,59,56,5,0,0,1,50,0.847458
10/24/13,10/24/13,Nanigans_7_720,7260,1.023967,7434,90,84,50,1,81,80,2,0,0,1,77,0.617284
10/23/13,10/23/13,Nanigans_6_718,260,1.003846,261,0,0,0,0,1,1,0,0,1,0,0,0
10/23/13,10/23/13,Nanigans_6_713,5335,1.003749,5355,20,17,43.02,5,18,13,1,0,0,0,12,2.39
10/23/13,10/23/13,Nanigans_5_701,1174,1.005111,1180,1,1,3.81,0,0,0,0,0,0,0,0,0
10/23/13,10/23/13,Nanigans_5_712,2868,1.003487,2878,3,3,9.25,0,0,0,0,0,0,0,0,0
10/23/13,10/23/13,Nanigans_5_708,30,1,30,0,0,0.09,0,0,0,0,0,0,0,0,0
10/23/13,10/23/13,Nanigans_5_711,1580,1.003165,1585,1,1,4.88,0,0,0,0,0,0,0,0,0
10/23/13,10/23/13,Nanigans_6_717,397,1.002519,398,1,1,2.37,0,1,1,1,0,0,0,0,2.37
10/23/13,10/23/13,Nanigans_5_703,1877,1.00959,1895,2,1,6.03,1,1,0,0,0,0,0,0,6.03
10/23/13,10/23/13,Nanigans_5_706,39,1,39,0,0,0.12,0,0,0,0,0,0,0,0,0
10/23/13,10/23/13,Nanigans_5_705,844,1.009479,852,1,1,2.76,0,0,0,0,0,0,0,0,0
10/23/13,10/23/13,Nanigans_5_709,101,1.019802,103,0,0,0.31,0,0,0,0,0,0,0,0,0
10/23/13,10/23/13,Nanigans_5_704,3626,1.007446,3653,1,1,11.55,0,0,0,0,0,0,0,0,0
10/23/13,10/23/13,Nanigans_5_707,52,1,52,1,1,0.15,0,0,0,0,0,0,0,0,0
10/23/13,10/23/13,Nanigans_6_716,4869,1.003491,4886,13,12,31.92,3,12,9,2,0,0,0,7,2.66
10/23/13,10/23/13,Nanigans_5_702,268,1.007463,270,1,1,0.82,0,0,0,0,0,0,0,0,0
10/23/13,10/23/13,Nanigans_6_715,168,1,168,0,0,0,0,0,0,0,0,0,0,0,0
10/23/13,10/23/13,Nanigans_5_710,119,1,119,0,0,0.36,0,0,0,0,0,0,0,0,0
10/23/13,10/23/13,Nanigans_6_714,95,1,95,0,0,0,0,0,0,0,0,0,0,0,0
10/22/13,10/22/13,Nanigans_5_709,109,1.018349,111,0,0,0.37,0,0,0,0,0,0,0,0,0
10/22/13,10/22/13,Nanigans_5_705,3064,1.009138,3092,2,1,10.14,0,1,1,0,0,0,0,1,10.14
10/22/13,10/22/13,Nanigans_5_701,3537,1.006503,3560,0,0,11.42,0,0,0,0,0,0,0,0,0
10/22/13,10/22/13,Nanigans_5_707,264,1.015152,268,0,0,0.84,0,0,0,0,0,0,0,0,0
10/22/13,10/22/13,Nanigans_5_708,107,1.018692,109,0,0,0.36,0,0,0,0,0,0,0,0,0
10/22/13,10/22/13,Nanigans_5_703,5249,1.01105,5307,3,3,16.84,0,2,2,0,0,0,0,2,8.42
10/22/13,10/22/13,Nanigans_5_712,6555,1.019527,6683,2,2,21.04,0,0,0,0,0,0,0,0,0
10/22/13,10/22/13,Nanigans_6_714,168,1,168,0,0,0,0,0,0,0,0,0,0,0,0
10/22/13,10/22/13,Nanigans_5_704,9491,1.010642,9592,3,3,30.38,0,1,1,0,0,0,0,1,30.38
