# Purchases,B01001001,B01001002,B01001003,B01001004,B01001005,B01001006,B01001007,B01001008,B01001009,B01001010,B01001011,B01001012,B01001013,B01001014,B01001015,B01001016,B01001017,B01001018,B01001019,B01001020,B01001021,B01001022,B01001023,B01001024,B01001025,B01001026,B01001027,B01001028,B01001029,B01001030,B01001031,B01001032,B01001033,B01001034,B01001035,B01001036,B01001037,B01001038,B01001039,B01001040,B01001041,B01001042,B01001043,B01001044,B01001045,B01001046,B01001047,B01001048,B01001049,B02001001,B02001002,B02001003,B02001004,B02001005,B02001006,B02001007,B02001008,B02001009,B02001010,B12001001,B12001002,B12001003,B12001004,B12001005,B12001006,B12001007,B12001008,B12001009,B12001010,B12001011,B12001012,B12001013,B12001014,B12001015,B12001016,B12001017,B12001018,B12001019,B13014001,B13014002,B13014003,B13014004,B13014005,B13014006,B13014007,B13014008,B13014009,B13014010,B13014011,B13014012,B13014013,B13014014,B13014015,B13014016,B13014017,B13014018,B13014019,B13014020,B13014021,B13014022,B13014023,B13014024,B13014025,B13014026,B13014027,B13015001,B13015002,B13015003,B13015004,B13015005,B13015006,B13015007,B13015008,B13015009,B13015010,B13015011,B13015012,B13015013,B13015014,B13015015,B13016001,B13016002,B13016003,B13016004,B13016005,B13016006,B13016007,B13016008,B13016009,B13016010,B13016011,B13016012,B13016013,B13016014,B13016015,B13016016,B13016017,B15002001,B15002002,B15002003,B15002004,B15002005,B15002006,B15002007,B15002008,B15002009,B15002010,B15002011,B15002012,B15002013,B15002014,B15002015,B15002016,B15002017,B15002018,B15002019,B15002020,B15002021,B15002022,B15002023,B15002024,B15002025,B15002026,B15002027,B15002028,B15002029,B15002030,B15002031,B15002032,B15002033,B15002034,B15002035,B19001001,B19001002,B19001003,B19001004,B19001005,B19001006,B19001007,B19001008,B19001009,B19001010,B19001011,B19001012,B19001013,B19001014,B19001015,B19001016,B19001017
22,206252,469.2269651,31.43242247,35.21905242,33.62876481,20.12101701,12.6107868,6.73448015,6.225394178,19.43253884,28.10154568,28.42154258,26.39004713,31.98999282,31.35969591,32.11605221,32.21302096,12.18412428,18.36103407,9.454453775,15.17561042,16.28105424,11.02534763,6.230242616,4.518744061,530.7730349,31.9996897,34.32209142,32.64938037,20.10162326,12.51381805,8.072648992,6.021759789,22.92341408,31.33545372,31.55848186,31.0639412,36.08207436,34.84572271,37.72569478,36.9208541,15.95136047,20.60586079,12.57684774,16.45074957,19.69920292,15.76711983,9.609603786,11.97564145,1000,554.6758334,413.7511394,2.375734538,9.745360045,0.213331265,3.607237748,15.63136357,0.33454221,15.29682136,1000,460.7522585,161.4049747,242.5827702,219.5318366,23.05093366,12.4003972,10.65053646,15.94250285,40.82201071,539.2477415,166.1701664,252.1192085,216.0563346,36.06287389,24.40722711,11.65564678,64.70851801,56.24984863,1000,58.00083914,27.03242692,2.477472978,6.013865857,8.990829354,5.953926994,3.596331742,30.96841222,9.65015684,7.032826517,12.94679427,1.078899522,0.25973507,941.9991609,395.4965935,34.16515155,104.7331722,150.4465445,76.76170306,29.39002218,546.5025674,143.0540848,146.4306407,191.7444207,47.03202733,18.24139378,1000,58.00083914,27.03242692,0.659327486,26.37309944,30.96841222,1.318654972,29.64975725,941.9991609,395.4965935,3.896026053,391.6005674,546.5025674,7.632215141,538.8703522,1000,58.00083914,3.03690236,17.44220895,18.3612715,9.670136461,5.754130787,2.937004256,0.799184831,941.9991609,131.3660067,135.1021958,110.7670176,120.3772152,122.2552996,145.7513336,176.3800923,1000,456.1960367,6.515630233,4.360740234,6.734031246,11.20397199,14.13054557,16.10343472,14.93862932,8.881641211,164.9218852,20.93009712,64.61029979,31.44974593,58.73531253,20.07105313,6.726751212,5.882267294,543.8039633,6.974272361,2.50433162,5.904107395,11.9174153,10.76716996,18.14184418,19.77985178,10.95645084,181.4184418,26.71772397,85.27103566,54.24353169,72.64745708,30.81638299,2.83193314,2.912013512,1000,105.6679955,82.29837473,68.14116324,67.33619544,63.56690177,59.43984463,49.40969028,53.30675662,42.31830727,83.16722887,89.24920781,102.1414699,52.87232955,36.44076459,23.44628437,21.19748543
7,61399,486.5388687,22.89939576,21.5312953,27.03627095,16.80809134,28.35551068,18.1924787,13.53442238,21.46614766,24.8863988,23.53458525,21.31956547,27.10141859,30.96141631,37.11786837,36.46639196,12.55720777,20.55408069,12.18260884,15.65172071,20.66808906,15.96117201,10.42362253,7.329109595,513.4611313,18.97425039,23.40428997,23.89289728,17.03610808,35.31002134,18.53450382,17.10125572,22.78538738,22.15019789,22.62251828,21.30327856,26.97112331,32.32951677,38.50225574,37.89964006,16.1077542,20.68437597,12.50834704,15.65172071,23.46943761,16.48235313,12.65492923,17.08496881,1000,940.3084741,19.18598023,2.426749621,12.47577322,0,7.866577632,17.73644522,2.231306699,15.50513852,1000,481.3758453,182.6149371,236.6552076,216.5577424,20.09746515,9.217634392,10.87983076,14.22311208,47.88258849,518.6241547,173.6239658,243.6439878,223.6031884,20.04079937,10.48317026,9.557629104,50.79143213,50.56476899,1000,45.9877366,28.39242869,1.866169022,1.199680085,14.92935217,4.865369235,5.531858171,17.59530792,3.399093575,8.597707278,4.932018128,0.466542255,0.199946681,954.0122634,331.9781392,18.59504132,83.24446814,106.6382298,65.98240469,57.5179952,622.0341242,98.44041589,147.4940016,302.9192215,57.25139963,15.92908558,1000,45.9877366,28.39242869,0.066648894,28.32577979,17.59530792,1.532924553,16.06238336,954.0122634,331.9781392,2.266062383,329.7120768,622.0341242,8.464409491,613.5697147,1000,45.9877366,0.666488936,13.46307651,9.264196214,15.06264996,4.998667022,2.19941349,0.333244468,954.0122634,213.5430552,225.6065049,81.37829912,77.51266329,82.17808584,108.1711544,165.6225007,1000,484.9134706,6.333848686,0.448855419,1.820358087,8.229016009,7.929779063,10.24886539,13.09161638,10.27380181,170.5151863,25.50994963,56.92982894,46.3817266,65.70744601,35.5094509,16.78220538,9.201536083,515.0865294,3.01730587,1.04732931,1.371502668,6.358785098,4.937409606,8.303825246,9.700264326,7.555732881,174.1559024,25.83412299,60.1466261,62.44077602,76.60465812,55.38377138,8.977108374,9.251408907,1000,71.2895583,59.06244711,54.70468776,60.96632256,53.01235404,60.88170587,59.23168049,50.09307836,40.70062616,92.61296328,117.3633441,113.3440514,75.77424268,33.0005077,33.16974107,24.79268912
3,73170,489.8592319,28.90528905,36.27169605,28.23561569,21.56621566,12.21812218,7.243405767,7.380073801,16.93316933,24.91458248,26.89626896,31.80265136,30.53163865,36.25802925,35.99835998,33.42900096,13.62580292,19.40686074,12.24545579,14.66447998,21.16987837,15.29315293,8.610086101,6.259395927,510.1407681,26.17192839,30.68197349,31.92565259,19.78953123,10.07243406,5.056717234,6.218395517,15.75782424,24.44991117,26.59559929,27.21060544,37.55637556,37.05070384,35.86169195,37.44704114,10.82410824,22.35889026,13.68047014,15.71682383,25.8029247,20.0902009,13.20213202,16.61883285,1000,923.2198989,37.03703704,4.100041,6.122727894,0.478338117,10.03143365,19.01052344,3.744704114,15.26581932,1000,484.7674593,135.2462441,285.1651933,259.8973913,25.26780194,13.6031685,11.66463343,17.27970053,47.07632146,515.2325407,99.76771002,289.22609,258.4769131,30.74917696,17.0457394,13.70343756,63.40346597,62.83527465,1000,47.12239256,28.9017341,5.780346821,4.649409399,9.675797939,7.036943956,1.759235989,18.22065846,7.288263383,4.523749686,5.02638854,0.565468711,0.816788138,952.8776074,515.2048253,71.68886655,120.633325,209.7888917,78.22317165,34.8705705,437.6727821,134.8957024,109.0098015,157.89143,29.59286253,6.282985675,1000,47.12239256,28.9017341,1.130937421,27.77079668,18.22065846,0.062829857,18.1578286,952.8776074,515.2048253,5.780346821,509.4244785,437.6727821,3.581301835,434.0914803,1000,47.12239256,3.078662981,9.298818799,20.60819301,6.911284242,4.523749686,1.884895702,0.816788138,952.8776074,134.204574,114.9786378,91.79442071,115.355617,120.5704951,170.7715506,205.2023121,1000,476.0192553,7.544945476,6.267806268,16.72069948,25.42489439,21.4559387,23.89232734,19.6875921,8.959622753,156.0271146,29.94400236,54.60261322,40.61302682,43.36378819,12.28018469,5.796247176,3.438451714,523.9807447,5.422929561,4.224383535,11.8282739,18.33185971,15.08989095,21.73101483,18.68552903,7.014441497,155.2411828,45.46615581,71.18577463,65.80214166,56.27271834,24.58001768,1.689753414,1.414677277,1000,102.5386955,82.96033075,74.82830492,79.13349506,66.08125192,78.24512249,63.9969932,47.32292343,42.50521065,70.42061024,90.03314313,98.6776916,54.70324939,20.12505552,11.89052516,16.53739707
94,251724,505.5854825,32.05494907,31.7570037,28.10220718,18.65138008,12.08069155,7.035483307,7.686990513,25.79015112,42.12947514,35.82495114,32.05892168,27.67713845,33.84262128,38.17673325,32.7223467,12.49384246,16.39494049,11.50466384,15.9142553,16.39494049,13.19699353,8.648360903,5.446441341,494.4145175,33.12357979,28.08234415,30.17193434,16.86370787,9.280005085,5.390824872,5.609318142,19.45384628,35.61440308,32.08275731,28.80933085,27.91152214,32.69056586,38.0535825,35.55878661,11.60397896,19.51343535,11.78274618,14.88137802,20.40329885,15.73548807,11.05575948,10.74192369,1000,811.2774308,82.06607236,6.68192147,25.38891802,1.886987335,29.21056395,43.48810602,3.909043238,39.57906278,1000,506.510689,163.4214558,267.3638641,245.7718219,21.59204222,9.134907702,12.45713452,13.2986356,62.42673347,493.489311,104.5504293,270.9438918,241.6907848,29.25310699,13.34727728,15.90582971,49.97446312,68.02052679,1000,58.8045002,42.62966824,4.493008878,9.165738111,16.31860825,10.74727724,1.905035764,16.17483196,4.618813127,3.181050286,7.045037921,1.329930628,0,941.1954998,479.6736278,39.48456202,108.2635419,189.4252543,99.4931886,43.00708098,461.521872,115.0569714,109.5395565,163.1501384,54.34743539,19.42777039,1000,58.8045002,42.62966824,0.035944071,42.59372417,16.17483196,0,16.17483196,941.1954998,479.6736278,4.906365695,474.7672621,461.521872,6.883289601,454.6385824,1000,58.8045002,1.509650983,13.78455124,19.06832968,16.33658028,5.589303044,1.006433989,1.509650983,941.1954998,116.7643147,123.989073,142.0509687,128.8055785,124.7438985,125.2650875,179.5765788,1000,497.0877258,3.073746857,1.822333972,4.815344513,7.168231413,6.481972734,9.157804895,13.05044866,6.879887431,125.2104911,37.82496367,88.22749187,44.07626122,87.93914789,44.40497336,9.671057184,7.283569006,502.9122742,4.509699892,0.980369542,3.552397869,5.986021084,7.3989066,9.74025974,10.60529169,7.485409794,141.2424166,43.07859104,84.47902009,52.06915642,89.83645129,33.9323199,4.129085834,3.886876889,1000,61.63213857,46.52652124,48.4375953,54.22164393,51.68032204,60.06668429,54.79090003,48.6815622,43.87338118,84.71750666,112.2044443,127.1372517,83.01990363,43.73106715,38.85172912,40.42734869
0,37382,495.586111,25.41330052,29.31892355,26.16232411,19.26060671,12.89390616,6.580707292,7.06222246,17.33454604,32.9302873,28.30239153,28.56989995,26.80434434,30.54946231,36.59515275,42.37333476,16.39826655,22.87197047,17.17404098,15.22122947,23.43373816,14.39195335,7.383232572,8.560269648,504.413889,26.56358675,30.25520304,24.79803114,16.23776149,11.1015997,4.788400835,5.189663474,17.84281205,30.01444546,27.76737467,30.76346905,25.19929378,29.61318282,37.87919319,48.65978278,17.3077952,21.10641485,12.94740784,23.00572468,20.03638115,14.49895672,12.25188593,16.58552244,1000,906.0510406,7.650740998,5.911936226,9.443047456,1.952811514,25.17254294,43.81788026,3.424107859,40.3937724,1000,495.1608267,151.7232568,266.2343885,243.2682787,22.96610982,8.11320152,14.8529083,17.88737343,59.31580797,504.8391733,101.5108442,268.3744849,243.4599291,24.91455585,13.41553007,11.49902578,48.51950043,86.43434376,1000,59.97663248,46.9946774,1.168375957,21.93950409,13.37141373,5.452421135,5.062962482,12.98195508,6.23133844,0,6.750616643,0,0,940.0233675,461.8979618,43.87900818,125.0162274,188.2383487,70.36219655,34.40218097,478.1254057,111.2553551,101.9083474,205.1148903,42.45099312,17.39581981,1000,59.97663248,46.9946774,0.389458652,46.60521875,12.98195508,4.933142931,8.048812151,940.0233675,461.8979618,17.52563936,444.3723225,478.1254057,14.15033104,463.9750746,1000,59.97663248,5.192782033,18.56419577,17.13618071,7.529533948,10.25574452,0.908736856,0.389458652,940.0233675,127.4827989,116.4481371,128.5213553,127.2231598,139.0367389,121.38128,179.9298974,1000,488.8227636,1.822577646,1.115863865,4.649432769,3.607959829,3.682350753,8.592151757,9.224474614,7.811047052,131.8579133,62.8975265,102.9570392,36.71192115,70.03905524,33.58750232,5.021387391,5.244560164,511.1772364,2.045750418,3.236005207,1.525013948,7.476287893,4.31467361,8.554956295,13.20438906,7.77385159,130.8908313,53.78463827,99.31188395,57.09503441,76.02752464,38.4229124,4.351869072,3.161614283,1000,51.12552461,58.43825512,68.93043368,74.71702912,63.97049472,59.71003434,58.88337785,51.76141422,47.31018695,81.90258171,93.79371741,130.1030141,71.9827038,36.11852982,31.6037136,19.64898894
19,230108,499.2177586,32.76722235,35.46595512,36.16997236,22.10701062,13.59361691,5.671250022,6.144940637,19.06930659,31.14189859,34.29693883,33.16268882,32.51516679,38.03431432,40.16809498,35.44857197,11.92048951,15.33193109,8.535122638,10.56460445,14.47581136,10.47768874,6.509986615,5.645175309,500.7822414,31.18535644,33.46689381,34.77497523,20.62944357,11.94221844,6.570827611,5.714707876,16.44445217,30.91157196,33.11923097,31.9458689,32.56731622,38.06038903,40.22893598,33.56250109,12.90263702,15.85777113,9.747596781,11.57717246,15.42319259,14.18029795,8.756757696,11.21212648,1000,914.1707372,10.42119353,14.01950389,30.34661985,0.130373564,15.64048186,15.2710901,1.221165713,14.04992438,1000,495.8925794,157.8614121,284.7247619,273.1803171,11.54444475,4.590486068,6.95395868,8.935345651,44.37105974,504.1074206,123.0807019,289.1678721,275.7512077,13.41666439,4.361234682,9.05542971,38.17581398,53.68303267,1000,46.41350211,36.47568288,1.22140795,6.033015027,12.30661041,10.77059738,6.144052113,9.937819232,1.295432675,2.60937153,5.311273966,0.51817307,0.203567992,953.5864979,492.7640832,18.83929232,102.1911318,181.7306981,138.5372714,51.46568954,460.8224147,114.1831372,103.5420831,164.0017766,66.28914057,12.8062773,1000,46.41350211,36.47568288,0,36.47568288,9.937819232,0.481160708,9.456658524,953.5864979,492.7640832,4.330446369,488.4336368,460.8224147,10.34495522,450.4774595,1000,46.41350211,0.222074173,7.272929158,14.28677178,17.02568658,6.273595381,1.184395588,0.148049449,953.5864979,138.4817529,115.0714339,117.3476941,124.0099193,129.7653416,137.5009253,191.4094307,1000,491.1527732,5.085285836,0.780350768,2.028911996,4.623578298,3.531087224,4.291929222,6.275320757,9.006548444,173.101309,27.76748148,65.67302002,57.46633112,92.51058351,27.26675641,7.497870293,4.246408761,508.8472268,4.051321069,0.747836152,1.222549536,6.054221373,3.186432301,4.714619221,3.830221685,6.678501987,167.9249823,35.28486054,67.37028294,60.69178096,106.6479382,33.0738667,4.877192298,2.490619533,1000,37.68184267,39.30944684,43.47386853,48.55872845,44.49533046,48.18830819,46.20150862,46.50457974,47.75053879,90.24784483,122.2948096,160.9981142,100.3726652,56.04570761,39.01760057,28.8591056
11,928405,493.3396524,28.57696803,30.48454069,33.55647589,21.17287175,15.82606729,7.98358475,7.764930176,19.89002644,31.14912134,29.7574873,29.25339695,34.08210856,38.37010787,40.45325047,36.6424136,12.30928313,16.4346379,9.640189357,11.47020966,14.66601322,9.220114067,7.295307544,7.340546421,506.6603476,26.97206499,28.49941566,32.28440174,20.00958633,15.34351926,7.624905079,7.173593421,18.60394978,29.94275128,30.00845536,29.90182086,35.774258,38.77079507,40.76453703,36.54008757,13.1623591,17.20693017,10.36724274,11.92152132,17.35988066,12.76382613,11.10183594,14.56261007,1000,856.5022808,43.36254113,2.295334471,40.5954298,0.166953,29.52913868,27.54832212,4.672529769,22.87579235,1000,488.9078711,180.4716504,249.3031691,229.9338323,19.36933681,7.64969873,11.71963808,12.65531674,46.47773492,511.0921289,153.6812779,249.4109298,228.7826321,20.62829771,10.20704519,10.42125252,44.99668176,63.00323939,1000,45.54187115,30.00762226,1.36398283,4.252417058,7.8005554,11.41555564,5.175111325,15.5342489,1.742866949,6.458859871,5.585197666,1.506621557,0.240702852,954.4581288,408.0760264,22.30958844,85.53866178,121.3365249,109.3414994,69.54975194,546.3821024,119.5936579,123.9129369,187.8418315,85.28458655,29.74908956,1000,45.54187115,30.00762226,0.949439029,29.05818323,15.5342489,3.204913904,12.32933499,954.4581288,408.0760264,5.478218621,402.5978078,546.3821024,19.57716532,526.8049371,1000,45.54187115,1.011843472,6.24490178,13.3144337,14.56698003,7.430586201,2.077176466,0.895949506,954.4581288,145.2909161,131.9853974,110.5985032,109.6178619,116.3129672,145.9684501,194.6840329,1000,483.7336721,5.791876762,2.099495772,3.571683805,8.074006432,5.615595347,10.90086156,8.826775718,8.053360861,151.4495573,27.79529122,56.61333227,36.59506888,98.78746973,41.41025132,9.352443721,8.796601421,516.2663279,5.763290586,2.280541549,3.981418986,8.872831222,6.020566165,9.025290825,7.966014214,7.299003454,144.1997856,31.68301108,63.96950808,54.04851709,104.3157184,52.90030571,7.472108627,6.468416246,1000,56.15541378,50.40352929,47.39587555,44.17690446,40.19082246,45.45928233,37.63185623,38.21659739,35.9384227,72.75106238,98.27414518,132.1543948,102.3181223,66.72996538,71.7668446,60.43676111
2,15890,498.2378855,32.47325362,34.67589679,36.75267464,26.55758339,17.7470107,4.845814978,16.36249213,20.26431718,34.67589679,33.73190686,29.45248584,31.843927,29.45248584,30.39647577,30.5223411,2.643171806,25.36186281,8.999370673,12.52359975,16.55129012,6.104468219,7.174323474,9.125235997,501.7621145,30.14474512,34.04657017,34.9905601,22.08936438,14.97797357,9.880427942,5.349276274,21.83763373,33.73190686,32.6620516,23.59974827,38.57772184,36.18628068,32.09565765,25.23599748,26.80931403,8.118313405,9.314033984,18.25047199,15.29263688,12.96412838,5.286343612,10.32095658,1000,883.0711139,14.85210824,0,1.195720579,0,43.42353682,57.45752045,5.097545626,52.35997483,1000,494.8274501,250.8884151,182.1053463,160.546474,21.55887231,7.423201453,14.13567085,15.63610519,46.19758351,505.1725499,196.872779,180.2100608,159.3619206,20.84814025,10.66098081,10.18715944,50.69888652,77.39082366,1000,70.33248082,25.83120205,0,9.207161125,16.62404092,0,0,44.50127877,0,6.649616368,37.8516624,0,0,929.6675192,241.6879795,31.71355499,84.39897698,42.45524297,62.65984655,20.46035806,687.9795396,159.8465473,196.9309463,214.3222506,86.44501279,30.43478261,1000,70.33248082,25.83120205,0,25.83120205,44.50127877,4.092071611,40.40920716,929.6675192,241.6879795,7.672634271,234.0153453,687.9795396,23.52941176,664.4501279,1000,70.33248082,15.85677749,45.01278772,0,0,0,9.462915601,0,929.6675192,134.7826087,105.6265985,137.084399,132.7365729,95.90792839,147.314578,176.2148338,1000,484.3904367,14.52282158,51.4720411,33.78778897,36.65283541,27.26733847,6.421655799,6.322861095,3.65540407,156.8859909,1.28433116,64.01896858,31.41671606,39.71547125,10.96621221,0,0,515.6095633,10.27464928,43.66725943,15.0167951,13.93005335,21.93242442,5.927682276,0.592768228,1.185536455,208.7532108,0,53.6455246,34.57814661,78.83817427,21.5372456,0,5.730092867,1000,328.8353747,143.0350841,109.4041935,91.13556155,77.43408761,88.64438447,32.17770397,30.30932115,17.02304339,15.56985676,53.97550343,12.45588541,0,0,0,0
0,24327,475.5621326,30.00781025,29.51453118,31.15879475,18.95013771,27.33588194,13.31853496,16.77148847,25.81493813,26.30821721,24.49952727,20.59440128,28.03469396,27.54141489,30.13113002,22.81415711,16.89480824,18.29243228,4.891684137,11.79759115,21.33431989,10.93435278,8.139104698,10.48218029,524.4378674,29.51453118,26.10268426,32.88527151,19.73116291,33.46076376,14.01734698,10.64660665,22.69083734,29.63785095,27.29477535,30.13113002,29.30899823,30.2133432,32.5153122,31.15879475,12.98968225,16.89480824,9.742261685,16.68927529,19.64894973,21.82759896,14.92169195,12.41418999,1000,600.4850578,355.9419575,3.494060098,7.029226785,0,16.23710281,16.81259506,11.50984503,5.302750031,1000,468.9002404,169.0204327,240.4346955,229.4170673,11.01762821,5.709134615,5.30849359,15.77524038,43.66987179,531.0997596,152.8445513,255.7091346,224.6594551,31.04967949,18.52964744,12.52003205,59.79567308,62.75040064,1000,67.76379477,39.85156502,1.290738948,4.678928687,21.45853501,10.00322685,2.420135528,27.91222975,6.615037109,10.80993869,10.48725395,0,0,932.2362052,382.7040981,31.46176186,120.5227493,103.0977735,80.34849952,47.27331397,549.5321071,115.3597935,101.0003227,281.8651178,41.94901581,9.357857373,1000,67.76379477,39.85156502,0,39.85156502,27.91222975,2.904162633,25.00806712,932.2362052,382.7040981,2.904162633,379.7999355,549.5321071,10.32591158,539.2061955,1000,67.76379477,9.68054211,17.58631817,15.00484027,18.23168764,4.840271055,2.420135528,0,932.2362052,199.0964827,168.2800904,101.3230074,88.89964505,113.4236851,112.6169732,148.5963214,1000,457.3689811,4.189944134,2.394253791,8.047353019,11.23969141,4.322958234,14.89757914,15.09710029,9.843043363,190.8087257,19.81910082,57.26256983,25.5387071,66.90609205,19.55307263,1.795690343,5.653099229,542.6310189,2.061718542,2.261239691,6.384676776,12.7028465,20.94972067,20.21814312,17.15881883,6.650704975,191.0747539,39.63820165,75.21947326,41.96594839,66.37403565,39.10614525,0.864591647,0,1000,143.5865375,107.0126081,64.81192039,58.97676357,48.66103991,57.51797437,46.4728561,53.87100135,26.6750026,64.70772116,87.11055538,108.6797958,64.91611962,40.63769928,16.35927894,10.00312598
2861,19979950,483.2761844,31.65082996,30.82470176,31.48486358,19.67657577,12.86724942,6.957374768,6.725342156,20.58728876,36.46921038,34.93387121,32.4351162,33.52410792,34.92811544,35.2616498,31.33361195,11.14387173,14.9614989,8.889862087,10.91539268,13.83632091,10.02169675,7.261179332,6.586452919,516.7238156,30.22855413,29.51989369,30.13025558,18.78272969,12.26749817,6.739956807,6.564280691,20.63618778,37.23778088,36.01650655,33.81760215,35.17746541,37.12471753,37.72782214,34.28281853,12.76935127,17.11170448,10.67975646,13.23917227,17.74564,13.520204,11.42660517,13.97731226,1000,589.7694939,171.2283064,3.010768295,104.6312929,0.336086927,102.72318,28.30087162,8.570391818,19.73047981,1000,477.0086247,193.9575224,241.4086126,212.6679984,28.74061422,9.30473775,19.43587647,11.68827537,29.95421434,522.9913753,185.3216445,240.7497485,207.1894432,33.56030538,15.83211575,17.72818963,47.35094826,49.56903398,1000,48.06748043,33.5116747,2.903365018,5.822559738,6.640955275,9.685204632,8.459590038,14.55580573,3.58918681,4.094352141,4.735652899,1.517276832,0.619337048,951.9325196,389.3180387,41.11270134,80.51579497,89.43741441,103.4405657,74.81156225,562.6144809,123.5155945,104.1544852,161.1869189,120.1709766,53.58650565,1000,48.06748043,33.5116747,0.780206384,32.73146832,14.55580573,1.777477541,12.77832819,951.9325196,389.3180387,5.414747068,383.9032916,562.6144809,16.21475839,546.3997225,1000,48.06748043,1.343941607,6.352063233,10.88272151,14.693722,10.15277442,3.515182959,1.127074705,951.9325196,121.4118273,127.8299795,136.3352778,127.6960207,123.5436923,135.5574459,179.5582762,1000,471.2485337,8.735496574,4.854752001,10.80462243,9.71228312,7.436332437,8.018557482,8.757656376,11.14140755,121.1089526,19.6903376,56.25978953,28.0127696,104.8306395,46.52461526,16.9894014,8.370920283,528.7514663,10.66449642,6.246577755,11.74008789,11.27714548,7.400862126,8.240521181,9.871789818,11.37733997,135.1128508,21.64756743,58.13371898,38.37156314,115.2999395,63.95662763,12.95200238,6.458375736,1000,72.57281983,46.12140135,44.66588946,43.25868399,39.15671025,39.36580405,36.34201847,36.24610775,31.90962317,64.43838305,87.48883265,117.3649519,93.51913145,63.99702522,80.80035882,102.7522585
