TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF OCT 07, 2013 (B)",AT&T : Consumer Wireless Service,9890.9,6352,2928.1,15.7,66.3,67.1,0,165.2,0,0,296.6,0
"WEEK OF OCT 07, 2013 (B)",AT&T : ISP,5.8,0,0,0,5.8,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T : ISP/Phone/TV/Wireless,5.9,0,0,0,5.9,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T : Residential,7.2,0,0,0,0,0,0,0,0,0,7.2,0
"WEEK OF OCT 07, 2013 (B)",AT&T : Vignette,1.2,0,0,0,1.2,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T : Yellow Pages,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T American Cup : Sponsored Event,2.4,0,0,0,2.4,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T Digital Life : Security System & Service,2161.7,976,1140.4,0,1.3,0,0,0,0,0,44,0
"WEEK OF OCT 07, 2013 (B)",AT&T Inc : Corporate Promotion,37.3,0,32.1,0,5.1,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T Inc : Recruitment,7.8,0,0,0,0,0,0,0,0,0,7.8,0
"WEEK OF OCT 07, 2013 (B)",AT&T Next Plan : Consumer Wireless Service,421.8,0,0,0,0,421.8,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T Performing Arts Center : Live Event,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T SportsNet Cable TV : Paid Promo,6.3,0,0,0,0,0,0,0,6.3,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T Town Point VA Wine Festival : Sponsored Event,7,0,0,0,0,0,0,0,7,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse : Bundled Products,2091.4,0,0,0,2091.4,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse : Cable & ISP,47,0,0,0,47,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse : ISP,829.9,0,0,0,829.9,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse : ISP/Phone/TV,13,0,0,0,13,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,87.1,0,0,0,87.1,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse : Vignette,1.3,0,0,0,1.3,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse Cable : Cable Service,31.4,0,0,0,31.4,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV,125.8,0,0,0,125.8,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV/Wireless,375.9,0,0,0,375.9,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T Wireless Store : Wireless Store,160.3,0,0,0,0,0,0,160.3,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T : Consumer Wireless Service,11661.9,6927.2,3541,0,96.4,196.3,0,544.3,60.1,0,296.6,0
"WEEK OF OCT 14, 2013 (B)",AT&T : Home Phone Equipment,1243.7,0,0,0,0,0,1243.7,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T : ISP,8.8,0,0,0,8.8,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T : ISP/Phone/TV/Wireless,5.1,0,0,0,5.1,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T : Residential,7.2,0,0,0,0,0,0,0,0,0,7.2,0
